                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9473,                 3.6543,                 4.2591,                0.00499,                0.60606,                0.01305,                0.00417,                 2.5935,                 3.6827,                 4.1582,                0.00012,                0.00012,                0.00012
                      2,                 3.1772,                 3.6687,                 4.1866,                0.00497,                0.61039,                0.01566,                0.00489,                 2.5922,                 3.6829,                 4.1546,             0.00025743,             0.00025743,             0.00025743
                      3,                 3.1402,                 3.6161,                 4.1544,                0.00498,                0.61039,                0.01689,                0.00494,                 2.5882,                 3.6817,                  4.147,             0.00039208,             0.00039208,             0.00039208
                      4,                 3.1307,                 3.4604,                 4.1161,                0.00506,                0.61905,                 0.0234,                0.00688,                 2.5826,                  3.679,                 4.1365,             0.00052396,             0.00052396,             0.00052396
                      5,                 2.9168,                 3.1841,                 3.9924,                0.00495,                0.62338,                0.02829,                0.01115,                 2.5674,                 3.6766,                  4.115,             0.00065307,             0.00065307,             0.00065307
                      6,                 3.0194,                 3.2458,                  3.885,                0.00484,                0.61472,                0.03202,                0.01364,                 2.5626,                 3.6736,                 4.0994,             0.00077941,             0.00077941,             0.00077941
                      7,                 2.8993,                 3.2512,                 3.7632,                0.00489,                0.61039,                0.01361,                0.00427,                 2.5728,                 3.6607,                 4.1229,             0.00090298,             0.00090298,             0.00090298
                      8,                 2.9736,                 3.0791,                 3.6269,                0.00488,                0.62338,                0.01462,                0.00457,                 2.5613,                 3.6466,                  4.096,              0.0010238,              0.0010238,              0.0010238
                      9,                   2.83,                  3.019,                 3.5339,                0.00521,                0.70996,                0.02379,                0.00899,                 2.5323,                 3.5948,                 3.9736,              0.0011418,              0.0011418,              0.0011418
                     10,                 2.8322,                 3.0302,                 3.4796,                0.04281,                 0.1342,                0.02228,                 0.0079,                 2.4846,                 3.5923,                 3.5463,               0.001257,               0.001257,               0.001257
                     11,                 2.7936,                 2.9602,                 3.3808,                0.05918,                0.14286,                0.02834,                0.00963,                 2.5934,                 5.4526,                 3.3007,              0.0013695,              0.0013695,              0.0013695
                     12,                 2.8623,                 2.9722,                 3.3462,                0.03061,                0.38095,                 0.0369,                0.01141,                 2.6737,                 34.136,                 3.7858,              0.0014792,              0.0014792,              0.0014792
                     13,                 2.7248,                 2.8658,                 3.2219,                0.02191,                0.37662,                0.03491,                0.01088,                  2.601,                 60.917,                 3.8806,              0.0015862,              0.0015862,              0.0015862
                     14,                 2.7301,                 2.9102,                 3.2473,                0.02413,                0.36364,                0.03697,                0.01188,                 2.6558,                 59.512,                 3.9036,              0.0016903,              0.0016903,              0.0016903
                     15,                 2.7102,                  2.775,                  3.162,                0.05584,                0.09524,                0.02511,                  0.008,                  2.729,                 79.737,                 4.7804,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.6446,                 2.7313,                 3.0936,                0.04325,                0.39827,                0.05299,                0.01456,                 2.6359,                 29.293,                 4.6136,               0.001703,               0.001703,               0.001703
                     17,                 2.5389,                 2.7224,                 3.0615,                0.09223,                0.28139,                0.06047,                0.01849,                 2.6245,                 10.019,                 4.2561,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.5263,                 2.6006,                 2.9987,                0.08587,                0.35065,                0.08572,                0.03073,                 2.4916,                 12.058,                 3.4768,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.5389,                 2.5764,                 2.9768,                0.28831,                0.22078,                 0.1652,                0.05599,                 2.4302,                 3.3856,                 3.1744,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.4547,                 2.5464,                 2.9351,                0.30448,                0.20779,                0.15015,                0.04691,                 2.3854,                 4.4326,                 3.0908,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.4466,                 2.5322,                 2.9115,                0.27874,                0.21212,                0.14517,                 0.0441,                 2.3861,                 4.4308,                 3.1137,               0.001604,               0.001604,               0.001604
                     22,                 2.2308,                 2.4186,                 2.7464,                0.12373,                0.35498,                0.16877,                0.05667,                 2.3607,                 11.242,                 3.2459,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.2764,                  2.376,                  2.772,                0.42103,                0.29907,                 0.2783,                0.10714,                 2.2293,                 3.9163,                 3.1009,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.3321,                 2.4784,                 2.7926,                0.18935,                0.13853,                0.07434,                  0.028,                 2.5516,                 3.5509,                 3.5339,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.2829,                 2.4246,                 2.7217,                0.34826,                0.25541,                0.21067,                0.08859,                 2.2297,                 3.0533,                 3.1058,              0.0015248,              0.0015248,              0.0015248
                     26,                 2.1942,                 2.3347,                 2.6734,                0.45921,                0.43723,                0.45335,                0.21859,                 1.9418,                 2.5632,                 2.5431,               0.001505,               0.001505,               0.001505
                     27,                 2.1729,                 2.2776,                 2.6232,                0.50011,                0.37229,                0.41423,                0.20622,                 1.8353,                 2.5285,                  2.468,              0.0014852,              0.0014852,              0.0014852
                     28,                 2.2342,                 2.2859,                 2.6755,                0.50335,                0.40804,                0.40141,                0.21269,                 1.8541,                 2.6449,                 2.4571,              0.0014654,              0.0014654,              0.0014654
                     29,                 2.0693,                 2.2198,                 2.6036,                0.52135,                0.47186,                0.48153,                0.25946,                 1.8088,                 2.3119,                 2.4224,              0.0014456,              0.0014456,              0.0014456
                     30,                 2.0594,                 2.1229,                 2.5585,                0.39002,                0.52868,                0.43002,                0.23163,                 1.7439,                 2.4893,                  2.374,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.9985,                 2.1228,                 2.5612,                0.44287,                0.37509,                0.38222,                0.18137,                 1.8566,                 6.8547,                 2.5408,               0.001406,               0.001406,               0.001406
                     32,                 1.9932,                 2.1184,                 2.5165,                0.45431,                0.58385,                0.46157,                0.26385,                 1.7138,                 3.6684,                 2.3378,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.9783,                  2.058,                 2.4685,                0.53607,                0.58009,                0.51353,                0.29013,                 1.6616,                 2.5766,                  2.291,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.9157,                 1.9577,                 2.4083,                0.53311,                0.54978,                0.56295,                0.32648,                 1.6777,                  2.144,                 2.3087,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.9262,                 2.0052,                 2.4354,                0.54306,                0.61225,                0.59052,                0.33844,                 1.6247,                 1.9715,                 2.2076,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.8867,                 1.9623,                 2.4007,                0.50579,                0.55411,                0.55938,                0.32693,                 1.5612,                 1.9343,                 2.1554,               0.001307,               0.001307,               0.001307
                     37,                 1.8832,                 1.9464,                 2.3184,                0.59471,                0.54545,                0.58672,                0.34361,                  1.584,                 1.8925,                 2.1762,              0.0012872,              0.0012872,              0.0012872
