DesignName,ParticipantID,TrialID,Block1,Block2,DT,OC,visualSearchTime,ErrorCount
Preattention-experiment,1,1,1,1,Size,25,708,0
Preattention-experiment,1,2,1,1,Size,25,547,0
Preattention-experiment,1,3,1,1,Size,25,603,0
Preattention-experiment,1,4,1,1,Size,25,895,0
Preattention-experiment,1,5,1,1,Size,25,618,0
Preattention-experiment,1,6,1,2,Size,9,644,0
Preattention-experiment,1,7,1,2,Size,9,662,0
Preattention-experiment,1,8,1,2,Size,9,540,0
Preattention-experiment,1,9,1,2,Size,9,542,0
Preattention-experiment,1,10,1,2,Size,9,539,0
Preattention-experiment,1,11,1,3,Size,49,1003,0
Preattention-experiment,1,12,1,3,Size,49,776,0
Preattention-experiment,1,13,1,3,Size,49,911,0
Preattention-experiment,1,14,1,3,Size,49,593,0
Preattention-experiment,1,15,1,3,Size,49,838,0
Preattention-experiment,1,16,2,1,Color,25,494,0
Preattention-experiment,1,17,2,1,Color,25,547,0
Preattention-experiment,1,18,2,1,Color,25,502,0
Preattention-experiment,1,19,2,1,Color,25,474,0
Preattention-experiment,1,20,2,1,Color,25,459,0
Preattention-experiment,1,21,2,2,Color,9,458,0
Preattention-experiment,1,22,2,2,Color,9,446,0
Preattention-experiment,1,23,2,2,Color,9,427,0
Preattention-experiment,1,24,2,2,Color,9,437,0
Preattention-experiment,1,25,2,2,Color,9,466,0
Preattention-experiment,1,26,2,3,Color,49,494,0
Preattention-experiment,1,27,2,3,Color,49,473,0
Preattention-experiment,1,28,2,3,Color,49,497,0
Preattention-experiment,1,29,2,3,Color,49,446,0
Preattention-experiment,1,30,2,3,Color,49,463,0
Preattention-experiment,1,31,3,1,ColorSize,25,2088,1
Preattention-experiment,1,32,3,1,ColorSize,25,2065,0
Preattention-experiment,1,33,3,1,ColorSize,25,2484,0
Preattention-experiment,1,34,3,1,ColorSize,25,1860,0
Preattention-experiment,1,35,3,1,ColorSize,25,2285,0
Preattention-experiment,1,36,3,2,ColorSize,9,1335,0
Preattention-experiment,1,37,3,2,ColorSize,9,1382,0
Preattention-experiment,1,38,3,2,ColorSize,9,1184,0
Preattention-experiment,1,39,3,2,ColorSize,9,1016,0
Preattention-experiment,1,40,3,2,ColorSize,9,1015,0
Preattention-experiment,1,41,3,3,ColorSize,49,3352,0
Preattention-experiment,1,42,3,3,ColorSize,49,1913,0
Preattention-experiment,1,43,3,3,ColorSize,49,1420,0
Preattention-experiment,1,44,3,3,ColorSize,49,3337,0
Preattention-experiment,1,45,3,3,ColorSize,49,1207,0
Preattention-experiment,2,46,1,1,ColorSize,49,2100,0
Preattention-experiment,2,47,1,1,ColorSize,49,1633,0
Preattention-experiment,2,48,1,1,ColorSize,49,2545,0
Preattention-experiment,2,49,1,1,ColorSize,49,2057,0
Preattention-experiment,2,50,1,1,ColorSize,49,1699,0
Preattention-experiment,2,51,1,2,ColorSize,25,1317,1
Preattention-experiment,2,52,1,2,ColorSize,25,1976,0
Preattention-experiment,2,53,1,2,ColorSize,25,1937,0
Preattention-experiment,2,54,1,2,ColorSize,25,1821,0
Preattention-experiment,2,55,1,2,ColorSize,25,1524,0
Preattention-experiment,2,56,1,3,ColorSize,9,1852,0
Preattention-experiment,2,57,1,3,ColorSize,9,2646,1
Preattention-experiment,2,58,1,3,ColorSize,9,1010,0
Preattention-experiment,2,59,1,3,ColorSize,9,1107,0
Preattention-experiment,2,60,1,3,ColorSize,9,1427,1
Preattention-experiment,2,61,2,1,Size,49,995,0
Preattention-experiment,2,62,2,1,Size,49,574,0
Preattention-experiment,2,63,2,1,Size,49,605,0
Preattention-experiment,2,64,2,1,Size,49,1081,0
Preattention-experiment,2,65,2,1,Size,49,1257,0
Preattention-experiment,2,66,2,2,Size,25,1201,0
Preattention-experiment,2,67,2,2,Size,25,946,0
Preattention-experiment,2,68,2,2,Size,25,959,0
Preattention-experiment,2,69,2,2,Size,25,856,0
Preattention-experiment,2,70,2,2,Size,25,830,0
Preattention-experiment,2,71,2,3,Size,9,1158,0
Preattention-experiment,2,72,2,3,Size,9,910,0
Preattention-experiment,2,73,2,3,Size,9,782,0
Preattention-experiment,2,74,2,3,Size,9,613,0
Preattention-experiment,2,75,2,3,Size,9,549,0
Preattention-experiment,2,76,3,1,Color,49,766,0
Preattention-experiment,2,77,3,1,Color,49,651,0
Preattention-experiment,2,78,3,1,Color,49,840,0
Preattention-experiment,2,79,3,1,Color,49,845,0
Preattention-experiment,2,80,3,1,Color,49,662,0
Preattention-experiment,2,81,3,2,Color,25,848,0
Preattention-experiment,2,82,3,2,Color,25,1046,0
Preattention-experiment,2,83,3,2,Color,25,566,0
Preattention-experiment,2,84,3,2,Color,25,1083,0
Preattention-experiment,2,85,3,2,Color,25,401,0
Preattention-experiment,2,86,3,3,Color,9,593,0
Preattention-experiment,2,87,3,3,Color,9,735,0
Preattention-experiment,2,88,3,3,Color,9,1043,0
Preattention-experiment,2,89,3,3,Color,9,660,0
Preattention-experiment,2,90,3,3,Color,9,923,0
Preattention-experiment,3,91,1,1,Color,9,1243,0
Preattention-experiment,3,92,1,1,Color,9,730,0
Preattention-experiment,3,93,1,1,Color,9,1457,0
Preattention-experiment,3,94,1,1,Color,9,787,0
Preattention-experiment,3,95,1,1,Color,9,980,0
Preattention-experiment,3,96,1,2,Color,49,712,0
Preattention-experiment,3,97,1,2,Color,49,740,0
Preattention-experiment,3,98,1,2,Color,49,818,0
Preattention-experiment,3,99,1,2,Color,49,531,0
Preattention-experiment,3,100,1,2,Color,49,638,0
Preattention-experiment,3,101,1,3,Color,25,621,0
Preattention-experiment,3,102,1,3,Color,25,578,0
Preattention-experiment,3,103,1,3,Color,25,666,0
Preattention-experiment,3,104,1,3,Color,25,546,0
Preattention-experiment,3,105,1,3,Color,25,642,0
Preattention-experiment,3,106,2,1,ColorSize,9,1551,0
Preattention-experiment,3,107,2,1,ColorSize,9,2490,0
Preattention-experiment,3,108,2,1,ColorSize,9,595,0
Preattention-experiment,3,109,2,1,ColorSize,9,1327,0
Preattention-experiment,3,110,2,1,ColorSize,9,1541,2
Preattention-experiment,3,111,2,2,ColorSize,49,4030,0
Preattention-experiment,3,112,2,2,ColorSize,49,2028,0
Preattention-experiment,3,113,2,2,ColorSize,49,4550,0
Preattention-experiment,3,114,2,2,ColorSize,49,3306,0
Preattention-experiment,3,115,2,2,ColorSize,49,3633,0
Preattention-experiment,3,116,2,3,ColorSize,25,4881,0
Preattention-experiment,3,117,2,3,ColorSize,25,4188,0
Preattention-experiment,3,118,2,3,ColorSize,25,2513,0
Preattention-experiment,3,119,2,3,ColorSize,25,2212,0
Preattention-experiment,3,120,2,3,ColorSize,25,1573,0
Preattention-experiment,3,121,3,1,Size,9,1310,0
Preattention-experiment,3,122,3,1,Size,9,1159,0
Preattention-experiment,3,123,3,1,Size,9,881,0
Preattention-experiment,3,124,3,1,Size,9,821,0
Preattention-experiment,3,125,3,1,Size,9,794,0
Preattention-experiment,3,126,3,2,Size,49,986,0
Preattention-experiment,3,127,3,2,Size,49,632,0
Preattention-experiment,3,128,3,2,Size,49,1003,0
Preattention-experiment,3,129,3,2,Size,49,1349,0
Preattention-experiment,3,130,3,2,Size,49,830,0
Preattention-experiment,3,131,3,3,Size,25,1514,0
Preattention-experiment,3,132,3,3,Size,25,1321,0
Preattention-experiment,3,133,3,3,Size,25,837,0
Preattention-experiment,3,134,3,3,Size,25,1187,0
Preattention-experiment,3,135,3,3,Size,25,912,0
Preattention-experiment,4,136,1,1,Size,25,830,0
Preattention-experiment,4,137,1,1,Size,25,664,0
Preattention-experiment,4,138,1,1,Size,25,1164,0
Preattention-experiment,4,139,1,1,Size,25,964,0
Preattention-experiment,4,140,1,1,Size,25,571,0
Preattention-experiment,4,141,1,2,Size,9,612,0
Preattention-experiment,4,142,1,2,Size,9,700,0
Preattention-experiment,4,143,1,2,Size,9,589,0
Preattention-experiment,4,144,1,2,Size,9,542,0
Preattention-experiment,4,145,1,2,Size,9,614,0
Preattention-experiment,4,146,1,3,Size,49,773,0
Preattention-experiment,4,147,1,3,Size,49,923,0
Preattention-experiment,4,148,1,3,Size,49,675,0
Preattention-experiment,4,149,1,3,Size,49,944,0
Preattention-experiment,4,150,1,3,Size,49,659,0
Preattention-experiment,4,151,2,1,Color,25,1772,0
Preattention-experiment,4,152,2,1,Color,25,589,0
Preattention-experiment,4,153,2,1,Color,25,584,0
Preattention-experiment,4,154,2,1,Color,25,656,0
Preattention-experiment,4,155,2,1,Color,25,499,0
Preattention-experiment,4,156,2,2,Color,9,523,0
Preattention-experiment,4,157,2,2,Color,9,512,0
Preattention-experiment,4,158,2,2,Color,9,569,0
Preattention-experiment,4,159,2,2,Color,9,1175,0
Preattention-experiment,4,160,2,2,Color,9,487,0
Preattention-experiment,4,161,2,3,Color,49,425,0
Preattention-experiment,4,162,2,3,Color,49,418,0
Preattention-experiment,4,163,2,3,Color,49,533,0
Preattention-experiment,4,164,2,3,Color,49,244,0
Preattention-experiment,4,165,2,3,Color,49,470,0
Preattention-experiment,4,166,3,1,ColorSize,25,3328,0
Preattention-experiment,4,167,3,1,ColorSize,25,1425,0
